type;price;bedroomCount;sqmeter2;district
HOUSE;2880000;6;398.0;Brussels
APARTMENT;329000;3;90.0;Brussels
APARTMENT;420000;2;120.0;Brussels
APARTMENT;365000;2;107.0;Brussels
APARTMENT;369000;2;116.0;Brussels
APARTMENT;435000;2;93.0;Brussels
APARTMENT;448000;2;101.0;Brussels
HOUSE;489000;3;162.0;Brussels
APARTMENT;145000;0;30.0;Brussels
HOUSE;445000;4;166.0;Brussels
APARTMENT;415000;2;85.0;Brussels
APARTMENT;595000;2;170.0;Brussels
APARTMENT;445000;2;110.0;Brussels
APARTMENT;299000;1;66.0;Brussels
APARTMENT;205000;1;40.0;Brussels
APARTMENT;540000;4;186.0;Brussels
APARTMENT;279000;1;87.0;Brussels
HOUSE;735000;5;302.0;Brussels
APARTMENT;350000;3;85.0;Brussels
HOUSE;649000;4;305.0;Brussels
HOUSE;545000;4;175.0;Brussels
HOUSE;835000;4;265.0;Brussels
APARTMENT;750000;2;167.0;Brussels
APARTMENT;375000;3;150.0;Brussels
HOUSE;1450000;5;400.0;Brussels
APARTMENT;385000;2;85.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;1455000;3;279.0;Brussels
APARTMENT;230000;2;81.0;Brussels
APARTMENT;299000;3;100.0;Brussels
APARTMENT;185000;1;60.0;Brussels
APARTMENT;298000;2;87.0;Brussels
APARTMENT;475000;2;120.0;Brussels
APARTMENT;475000;3;120.0;Brussels
HOUSE;895000;6;300.0;Brussels
APARTMENT;260000;1;68.0;Brussels
HOUSE;2900000;7;525.0;Brussels
HOUSE;585000;3;158.0;Brussels
APARTMENT;275000;2;98.0;Brussels
APARTMENT;275000;2;98.0;Brussels
APARTMENT;305000;2;85.0;Brussels
HOUSE;800000;4;317.0;Brussels
APARTMENT;585000;3;158.0;Brussels
APARTMENT;215000;2;75.0;Brussels
APARTMENT;389000;2;88.0;Brussels
APARTMENT;189000;0;48.0;Brussels
APARTMENT;279000;1;53.0;Brussels
APARTMENT;375000;3;78.0;Brussels
APARTMENT;495000;2;126.0;Brussels
APARTMENT;995000;3;150.0;Brussels
APARTMENT;299000;2;93.0;Brussels
APARTMENT;550000;3;115.0;Brussels
APARTMENT;1380000;4;300.0;Brussels
APARTMENT;375000;3;140.0;Brussels
APARTMENT;275000;1;60.0;Brussels
APARTMENT;1595000;2;271.0;Brussels
HOUSE;560000;3;120.0;Brussels
HOUSE;795000;4;150.0;Brussels
HOUSE;3400000;7;842.0;Brussels
APARTMENT;385000;2;112.0;Brussels
APARTMENT;585000;3;158.0;Brussels
APARTMENT;600000;2;150.0;Brussels
APARTMENT;185000;0;35.0;Brussels
APARTMENT;290000;1;65.0;Brussels
APARTMENT;345000;2;81.0;Brussels
APARTMENT;375000;2;150.0;Brussels
APARTMENT;450000;3;150.0;Brussels
APARTMENT;217500;1;70.0;Brussels
APARTMENT;289000;2;82.0;Brussels
APARTMENT;340000;1;66.0;Brussels
APARTMENT;445000;2;112.0;Brussels
APARTMENT;200000;1;50.0;Brussels
APARTMENT;575000;3;140.0;Brussels
HOUSE;519000;4;200.0;Brussels
APARTMENT;250000;1;65.0;Brussels
APARTMENT;395000;3;134.0;Brussels
HOUSE;865000;4;253.0;Brussels
HOUSE;865000;4;253.0;Brussels
APARTMENT;189000;1;60.0;Brussels
APARTMENT;370000;2;85.0;Brussels
HOUSE;645000;4;170.0;Brussels
APARTMENT;370000;2;106.0;Brussels
APARTMENT;199000;1;65.0;Brussels
APARTMENT;419000;2;100.0;Brussels
APARTMENT;299000;2;75.0;Brussels
APARTMENT;525000;2;108.0;Brussels
APARTMENT;250000;3;130.0;Brussels
APARTMENT;229000;1;46.0;Brussels
HOUSE;750000;4;222.0;Brussels
HOUSE;725000;5;503.0;Brussels
APARTMENT;224500;2;75.0;Brussels
APARTMENT;320000;2;94.0;Brussels
APARTMENT;1095000;4;307.0;Brussels
APARTMENT;595000;2;170.0;Brussels
APARTMENT;695000;3;150.0;Brussels
APARTMENT;435000;2;94.0;Brussels
APARTMENT;360000;2;85.0;Brussels
HOUSE;795000;0;155.0;Brussels
HOUSE;870000;5;270.0;Brussels
APARTMENT;365000;3;125.0;Brussels
APARTMENT;249000;1;78.0;Brussels
HOUSE;695000;4;180.0;Brussels
HOUSE;549000;4;175.0;Brussels
APARTMENT;157000;1;50.0;Brussels
APARTMENT;399000;3;105.0;Brussels
APARTMENT;465000;4;150.0;Brussels
APARTMENT;199000;1;65.0;Brussels
APARTMENT;225000;1;66.0;Brussels
APARTMENT;349000;2;94.0;Brussels
APARTMENT;1095000;4;307.0;Brussels
APARTMENT;299000;1;73.0;Brussels
APARTMENT;435000;2;79.0;Brussels
HOUSE;585000;3;155.0;Brussels
HOUSE;450000;4;160.0;Brussels
APARTMENT;199000;1;45.0;Brussels
APARTMENT;385000;2;90.0;Brussels
APARTMENT;845000;4;241.0;Brussels
APARTMENT;845000;4;241.0;Brussels
HOUSE;649000;6;290.0;Brussels
HOUSE;649000;6;290.0;Brussels
APARTMENT;525000;2;108.0;Brussels
APARTMENT;215000;1;61.0;Brussels
APARTMENT;429900;4;130.0;Brussels
HOUSE;495000;3;117.0;Brussels
APARTMENT;259000;1;70.0;Brussels
APARTMENT;259000;1;70.0;Brussels
APARTMENT;179000;1;61.0;Brussels
APARTMENT;179000;1;61.0;Brussels
HOUSE;875000;5;349.0;Brussels
APARTMENT;420000;4;147.0;Brussels
APARTMENT;360000;2;100.0;Brussels
APARTMENT;375000;2;85.0;Brussels
HOUSE;1150000;7;446.0;Brussels
APARTMENT;450000;2;116.0;Brussels
APARTMENT;220000;2;101.0;Brussels
HOUSE;800000;6;300.0;Brussels
APARTMENT;220000;2;60.0;Brussels
APARTMENT;545000;2;110.0;Brussels
APARTMENT;398000;3;90.0;Brussels
APARTMENT;305000;3;105.0;Brussels
APARTMENT;375000;1;75.0;Brussels
APARTMENT;399000;1;110.0;Brussels
APARTMENT;875000;3;271.0;Brussels
APARTMENT;350000;1;93.0;Brussels
HOUSE;780000;5;210.0;Brussels
APARTMENT;235000;2;95.0;Brussels
APARTMENT;364000;2;88.0;Brussels
APARTMENT;375000;3;124.0;Brussels
APARTMENT;442000;3;105.0;Brussels
APARTMENT;595000;2;128.0;Brussels
APARTMENT;250000;2;70.0;Brussels
APARTMENT;1695000;4;297.0;Brussels
APARTMENT;330000;3;100.0;Brussels
APARTMENT;299000;2;82.0;Brussels
HOUSE;890000;4;253.0;Brussels
HOUSE;1450000;5;400.0;Brussels
APARTMENT;229000;2;84.0;Brussels
APARTMENT;338000;1;73.0;Brussels
APARTMENT;790000;2;217.0;Brussels
APARTMENT;189000;1;62.0;Brussels
APARTMENT;340000;1;69.0;Brussels
APARTMENT;259000;1;64.0;Brussels
APARTMENT;350000;2;100.0;Brussels
APARTMENT;475000;2;90.0;Brussels
APARTMENT;420000;2;80.0;Brussels
APARTMENT;350000;2;85.0;Brussels
APARTMENT;335000;3;118.0;Brussels
HOUSE;799000;5;260.0;Brussels
HOUSE;799000;5;260.0;Brussels
APARTMENT;320000;2;71.0;Brussels
APARTMENT;345000;1;66.0;Brussels
APARTMENT;345000;1;66.0;Brussels
APARTMENT;350000;2;100.0;Brussels
APARTMENT;430000;2;141.0;Brussels
HOUSE;1100000;5;300.0;Brussels
HOUSE;799000;6;485.0;Brussels
APARTMENT;550000;3;162.0;Brussels
APARTMENT;997000;5;288.0;Brussels
APARTMENT;465000;2;109.0;Brussels
HOUSE;1290000;3;320.0;Brussels
APARTMENT;230000;2;93.0;Brussels
APARTMENT;356000;2;104.0;Brussels
APARTMENT;655000;3;150.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;535000;3;150.0;Brussels
APARTMENT;184000;1;33.0;Brussels
APARTMENT;184000;1;33.0;Brussels
HOUSE;399000;4;171.0;Brussels
